image_path,label,method,video_name,source_video_path,relative_video_path,split_group,blur_score
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0000.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,136.8882
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0001.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,144.3425
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0002.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,98.8123
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0003.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,112.6274
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0004.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,108.8912
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0005.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,101.4593
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0006.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,109.7087
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0007.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,103.182
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0008.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,107.1278
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0009.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,90.8708
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0010.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,94.1928
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0011.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,78.1619
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0012.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,94.0799
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0013.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,95.3149
./processed_ffpp/cropfaces_filtered/manipulated_sequences/Deepfakes/c23/videos/000_003/crop_0014.jpg,1,Deepfakes,000_003,./datasets/FFPP/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,manipulated_sequences/Deepfakes/c23/videos/000_003,107.2643
